station,valid,high,low,rh_min,rh,rh_max,gdd50,solar_mj,precip,speed
CRFI4,2020-01-20,14.557999999999941,0.1759999999999252,84.3,88.82500012715657,94.0,0.0,7.5772803,0.0,6.419767
CRFI4,2020-01-21,23.966599999999897,-2.3620000000000685,88.0,90.94583288828532,93.1,0.0,8.62272,0.0,6.54399
CRFI4,2020-01-22,31.587799999999962,23.766799999999915,84.5,89.96250025431316,100.0,0.0,5.0803199999999995,0.22,12.426986
CRFI4,2020-01-23,34.69999999999994,30.441199999999963,98.8,99.73333326975505,100.0,0.0,5.036256000000001,0.33,7.1604
CRFI4,2020-01-24,34.11679999999991,31.935199999999934,100.0,100.0,100.0,0.0,5.7188159999999995,0.16000001,9.232152
CRFI4,2020-01-25,34.735999999999905,23.21959999999996,83.3,92.21250057220459,98.2,0.0,7.61184,0.0,13.809307
CRFI4,2020-01-26,29.00119999999994,13.297999999999961,95.7,98.34166653951009,100.0,0.0,6.9984004,0.0,5.2894583
CRFI4,2020-01-27,33.025999999999925,26.15719999999997,92.3,97.33750089009602,100.0,0.0,5.1900483,0.0,5.663353
CRFI4,2020-01-28,26.13739999999993,21.502399999999948,94.1,97.68749968210857,100.0,0.0,5.764608,0.0,7.047563
CRFI4,2020-01-29,29.546599999999938,21.28639999999994,82.1,94.89583365122478,100.0,0.0,7.0848,0.0,3.3394034
CRFI4,2020-01-30,30.257599999999904,24.205999999999964,86.0,93.20833333333333,97.6,0.0,6.6182397,0.0,2.5430043
CRFI4,2020-01-31,35.938399999999916,24.497599999999924,93.8,98.10833358764648,100.0,0.0,7.4304,0.010000001,5.7717085
CRFI4,2020-02-01,39.10279999999998,33.49759999999993,82.2,92.35416634877522,100.0,0.0,8.91648,0.0,9.9269905
CRFI4,2020-02-02,52.86199999999989,30.329599999999942,56.24,77.87749989827473,91.0,1.4,12.01824,0.0,7.666258
CRFI4,2020-02-03,41.683999999999926,30.113599999999934,86.3,92.29583390553792,98.5,0.0,9.771840000000001,0.0,9.370031
CRFI4,2020-02-04,35.92039999999993,27.597199999999887,60.02,72.30625073115031,84.5,0.0,6.42384,0.0,13.818592
CRFI4,2020-02-05,28.399999999999935,24.13219999999997,61.63,73.43458382288615,89.0,0.0,2.552256,0.0,10.117996
CRFI4,2020-02-06,37.30279999999998,16.39399999999991,48.95,77.18666664759319,93.1,0.0,12.458881,0.0,5.1273537
CRFI4,2020-02-07,34.86379999999995,18.21559999999991,62.36,87.96333408355713,98.1,0.0,7.28352,0.0,4.8685966
CRFI4,2020-02-08,32.4427999999999,19.165999999999944,68.79,86.13625049591064,98.9,0.0,11.7244795,0.0,8.349262
CRFI4,2020-02-09,40.99459999999996,24.677599999999966,84.6,92.00416692097981,100.0,0.0,1.855008,0.05,12.532158
CRFI4,2020-02-10,39.214399999999905,23.291599999999896,74.83,89.31375058492024,96.9,0.0,10.56672,0.0,3.8669112
CRFI4,2020-02-11,35.50099999999993,24.112399999999926,66.98,85.9820826848348,95.9,0.0,10.739520500000001,0.0,6.8966904
CRFI4,2020-02-12,34.881799999999934,19.43959999999992,81.2,92.54166634877522,100.0,0.0,2.945376,0.19000001,6.805094
CRFI4,2020-02-13,19.52959999999994,-5.962000000000068,74.22,83.89208380381267,95.5,0.0,12.648959999999999,0.0,16.288763
CRFI4,2020-02-14,15.90799999999994,-9.490000000000082,63.34,77.68958314259847,88.0,0.0,14.739840000000001,0.0,7.7119613
CRFI4,2020-02-15,41.57599999999992,15.90799999999994,74.75,82.1433334350586,98.1,0.0,9.42624,0.030000001,10.314287
CRFI4,2020-02-16,44.26519999999997,20.2063999999999,75.67,91.88624986012776,100.0,0.0,12.6835205,0.0,3.800468
CRFI4,2020-02-17,42.26719999999995,32.734399999999965,91.9,97.83750057220459,100.0,0.0,3.773088,0.1,7.7378745
CRFI4,2020-02-18,35.68279999999992,23.93059999999993,76.94,86.68250020345052,95.9,0.0,14.765761000000001,0.0,14.402649
CRFI4,2020-02-19,29.602399999999946,14.197999999999961,57.2,77.20375076929729,91.2,0.0,13.055040000000002,0.0,8.38065
CRFI4,2020-02-20,23.73079999999995,6.187999999999982,49.69,71.57333278656006,87.5,0.0,14.89536,0.0,7.1140146
CRFI4,2020-02-21,40.99459999999996,9.805999999999965,43.12,67.5620829264323,88.2,0.0,15.102720999999999,0.0,10.562769
CRFI4,2020-02-22,54.4279999999999,25.09879999999993,47.52,66.9587500890096,80.1,2.2,14.71392,0.0,10.261257
CRFI4,2020-02-23,61.55599999999996,30.459199999999946,33.58,67.43041706085205,89.4,5.8,15.13728,0.0,6.244924
CRFI4,2020-02-24,42.37519999999996,33.463399999999915,71.8,81.27208360036214,88.0,0.0,5.0353916,0.0,10.885657
CRFI4,2020-02-25,41.32399999999995,32.169199999999925,69.31,79.23791599273682,87.0,0.0,8.536318999999999,0.0,13.123565
CRFI4,2020-02-26,36.9211999999999,20.77159999999994,55.4,72.412500222524,84.9,0.0,10.635841000000001,0.0,12.053437
CRFI4,2020-02-27,38.68519999999993,20.607799999999923,52.63,76.68916670481364,91.1,0.0,13.88448,0.0,6.5117145
CRFI4,2020-02-28,35.26519999999997,16.411999999999892,72.7,86.18374983469646,96.0,0.0,7.344,0.0,6.440417
